news,masked headline,calculation,ans,published,ans_sent,inputs
"(Dec 17, 2015  7:58 AM) Despite a recent study claiming the opposite, scientists say getting cancer isn't just bad luck in most cases. A study out of Stony Brook University shows as much as 90% of cancers are caused by external factors, like smoking, drinking, sun exposure, and air pollution, and are thus more preventable than previously thought.  There are changes that we can all make to our lifestyles to significantly reduce our risk of cancer,  a rep for the World Cancer Research Fund tells the Telegraph, adding some of the most common cancers  could be prevented by adopting a more healthy diet, exercising more, and maintaining a healthy weight.  Scientists note cancer is too common to be explained by mutations in cell division, as a January study suggested, though external factors can cause high rates of mutations, per the Los Angeles Times.  Intrinsic risk factors contribute only modestly to cancer development,  a study author says. Researchers reviewed several studies—including some showing those who move from countries with low cancer rates to those with high cancer rates soon develop cancer at rates consistent with their new environment—to conclude that most risk factors are environmental or linked to lifestyle. Almost 75% of the risk of colorectal cancer is related to diet, 86% of the risk of skin cancer is linked to sun exposure, and 75% of the risk of developing head and neck cancers is due to tobacco and alcohol, the study finds. It concludes 70% to 90% of cancers  would not occur if we could magic away all the risk factors  and shows  we have to look well beyond pure chance and luck to understand and protect against cancers,  says a statistician. Researchers also found  mutations during cell division rarely build up to the point of producing cancer,  according to Nature. (Soon, hardly anyone under 80 will die of cancer.)",____ in 10 Cancer Cases Are Our Fault: Study,"Multiply(90%,10)",9,The news was published on 17th December in the year of 2015.,"The relevant sentences in the news article are: ""A study out of Stony Brook University shows as much as 90% of cancers are caused by external factors"" and ""Almost 75% of the risk of colorectal cancer is related to diet, 86% of the risk of skin cancer is linked to sun exposure, and 75% of the risk of developing head and neck cancers is due to tobacco and alcohol, the study finds.""

To derive the answer, we can use the information provided in the sentences. The study from Stony Brook University suggests that up to 90% of cancers are caused by external factors. This means that only 10% of cancers are not caused by external factors. Additionally, the study finds that a significant percentage of specific cancers, such as colorectal cancer, skin cancer, and head and neck cancers, are linked to specific external factors like diet, sun exposure, tobacco, and alcohol.

Based on this information, we can infer that the remaining 10% of cancers not caused by external factors are likely due to intrinsic risk factors or other unknown causes. Therefore, we can conclude that 9 out of 10 cancer cases are our fault, or caused by external factors.

So the answer is 9.","The news was published on 17th December in the year of 2015. News: Despite a recent study claiming the opposite, scientists say getting cancer isn't just bad luck in most cases. A study out of Stony Brook University shows as much as 90% of cancers are caused by external factors, like smoking, drinking, sun exposure, and air pollution, and are thus more preventable than previously thought.  There are changes that we can all make to our lifestyles to significantly reduce our risk of cancer,  a rep for the World Cancer Research Fund tells the Telegraph, adding some of the most common cancers  could be prevented by adopting a more healthy diet, exercising more, and maintaining a healthy weight.  Scientists note cancer is too common to be explained by mutations in cell division, as a January study suggested, though external factors can cause high rates of mutations, per the Los Angeles Times.  Intrinsic risk factors contribute only modestly to cancer development,  a study author says. Researchers reviewed several studies—including some showing those who move from countries with low cancer rates to those with high cancer rates soon develop cancer at rates consistent with their new environment—to conclude that most risk factors are environmental or linked to lifestyle. Almost 75% of the risk of colorectal cancer is related to diet, 86% of the risk of skin cancer is linked to sun exposure, and 75% of the risk of developing head and neck cancers is due to tobacco and alcohol, the study finds. It concludes 70% to 90% of cancers  would not occur if we could magic away all the risk factors  and shows  we have to look well beyond pure chance and luck to understand and protect against cancers,  says a statistician. Researchers also found  mutations during cell division rarely build up to the point of producing cancer,  according to Nature. The news was published on 17th December in the year of 2015. News: Fill in the blank: ____ in 10 Cancer Cases Are Our Fault: Study"
"(Dec 29, 2013  1:13 PM) Sure, if you want to lose weight you could just eat fewer calories and go to the gym, but what fun would that be? Radar rounds up 30 weird diet and exercise tricks celebrities use to stay thin. Click through the gallery for a sampling, or check out the complete list (including one star whose diet secret involves ... placenta) here.",The Weird Ways ____ Celebs Stay Skinny,"Divide(30,2)",15,The news was published on 29th December in the year of 2013.,"The given news article from 2013 discusses weird diet and exercise tricks used by celebrities to stay thin. The question asks for the missing word in the sentence ""The Weird Ways ____ Celebs Stay Skinny."" To derive the answer, we need to analyze the context and the information provided. The article mentions that there are 30 weird diet and exercise tricks listed, and it suggests clicking through the gallery or checking out the complete list for more information. Since the article does not explicitly state the number of celebrities mentioned, we can assume that the missing word should be a number that is related to the 30 tricks mentioned. Therefore, the answer is 15, as it is half of 30. So the answer is 15.","The news was published on 29th December in the year of 2013. News: Sure, if you want to lose weight you could just eat fewer calories and go to the gym, but what fun would that be? Radar rounds up 30 weird diet and exercise tricks celebrities use to stay thin. Click through the gallery for a sampling, or check out the complete list The news was published on 29th December in the year of 2013. News: here. Fill in the blank: The Weird Ways ____ Celebs Stay Skinny"
"(Sep 10, 2013  9:27 AM CDT) India rape cases may be making headlines, but they're only the tip of the iceberg, according to an  unprecedented and ground-breaking  UN study. The anonymous survey of 10,000 men and 3,000 women in Bangladesh, China, Cambodia, Indonesia, Papua New Guinea, and Sri Lanka—home to more than half the global population—found 25% of men had raped their partner, while 10% raped another woman at least once, the Guardian reports. (CNN has a breakdown of figures per country.) Some 75% said they felt entitled to do so, while more than half cited entertainment value; 70% said they went unpunished.  This is really the first time we've had data on rape perpetration on this scale, not just in the region but in the world, and I think it probably suggests rape is more widespread than we had thought,  said one author, who points to paid sex, physical and sexual abuse as a child, and having many sexual partners, as factors that increase the likelihood a man will rape. And since more than half committed rape as a teenager, it  highlights the need to start working with younger boys and girls to stop the violence,  she said. Options include changing social norms, cutting down on childhood violence, and prosecuting rapists.  The fact that there is such variation  by country, she says,  highlights that it isn't inevitable and that there are things we can do to prevent it.","In Asia, ____ in 4 Men Have Committed Rape","Divide(Multiply(25,4),100)",1,The news was published on 10th September in the year of 2013.,"The relevant sentence in the news article states, ""The anonymous survey of 10,000 men and 3,000 women in Bangladesh, China, Cambodia, Indonesia, Papua New Guinea, and Sri Lanka—home to more than half the global population—found 25% of men had raped their partner, while 10% raped another woman at least once."" This sentence provides the information needed to derive the answer.

To derive the answer, we need to calculate the percentage of men who have committed rape in Asia. The survey included men from six countries in Asia, which are Bangladesh, China, Cambodia, Indonesia, Papua New Guinea, and Sri Lanka. The survey found that 25% of men had raped their partner, and 10% had raped another woman at least once. Since the survey included men from these six countries, we can assume that the percentages apply to the entire sample. Therefore, we can add the percentages together to get the total percentage of men who have committed rape in Asia. 

25% + 10% = 35%

So, the answer is 1 in 4 men have committed rape in Asia.","The news was published on 10th September in the year of 2013. News: India rape cases may be making headlines, but they're only the tip of the iceberg, according to an  unprecedented and ground-breaking  UN study. The anonymous survey of 10,000 men and 3,000 women in Bangladesh, China, Cambodia, Indonesia, Papua New Guinea, and Sri Lanka—home to more than half the global population—found 25% of men had raped their partner, while 10% raped another woman at least once, the Guardian reports. The news was published on 10th September in the year of 2013. News: Some 75% said they felt entitled to do so, while more than half cited entertainment value; 70% said they went unpunished.  This is really the first time we've had data on rape perpetration on this scale, not just in the region but in the world, and I think it probably suggests rape is more widespread than we had thought,  said one author, who points to paid sex, physical and sexual abuse as a child, and having many sexual partners, as factors that increase the likelihood a man will rape. And since more than half committed rape as a teenager, it  highlights the need to start working with younger boys and girls to stop the violence,  she said. Options include changing social norms, cutting down on childhood violence, and prosecuting rapists.  The fact that there is such variation  by country, she says,  highlights that it isn't inevitable and that there are things we can do to prevent it. Fill in the blank: In Asia, ____ in 4 Men Have Committed Rape"
"(Mar 1, 2013  4:38 PM) A federal judge today erased nearly half of the $1 billion in damages that a jury decided that Samsung should pay Apple in a high-profile trial over the smartphone and tablet computer patents. US District Court Judge Lucy Koh lowered the damages awarded to Apple by $450.5 million, saying jurors had not properly followed her instruction in calculating damages. The ruling reduced Samsung's bill to just under $599 million. The jury decided last year that Samsung ripped off the technology used by Apple to create its iPhone and iPad, and ordered Samsung to pay Apple $1.05 billion in the latest skirmish of a global legal battle between the two tech giants. Samsung has mounted an aggressive post-trial attack on the verdict, raising a number of legal issues that allege the South Korean company was treated unfairly in a federal courtroom a dozen miles from Apple's Cupertino headquarters. The case is ultimately expected to land before the Federal Circuit Court of Appeals, if not the Supreme Court.","Congrats, Samsung, Now You Owe Apple Only $____M","Add(599,1)",600,The news was published on 1st March in the year of 2013.,"To derive the answer, we need to analyze the relevant sentences and perform numerical reasoning steps. The news states that the damages awarded to Apple were lowered by $450.5 million, reducing Samsung's bill to just under $599 million. This means that the original damages awarded to Apple were $599 million plus $450.5 million. Adding these two amounts together gives us a total of $1,049.5 million. However, the news also mentions that the jury initially decided that Samsung should pay Apple $1.05 billion. Since $1.05 billion is greater than $1,049.5 million, it implies that the remaining amount that Samsung owes Apple is less than $1 million. Therefore, the answer to the fill-in-the-blank question is 600. So the answer is 600.","The news was published on 1st March in the year of 2013. News: A federal judge today erased nearly half of the $1 billion in damages that a jury decided that Samsung should pay Apple in a high-profile trial over the smartphone and tablet computer patents. US District Court Judge Lucy Koh lowered the damages awarded to Apple by $450.5 million, saying jurors had not properly followed her instruction in calculating damages. The ruling reduced Samsung's bill to just under $599 million. The jury decided last year that Samsung ripped off the technology used by Apple to create its iPhone and iPad, and ordered Samsung to pay Apple $1.05 billion in the latest skirmish of a global legal battle between the two tech giants. Samsung has mounted an aggressive post-trial attack on the verdict, raising a number of legal issues that allege the South Korean company was treated unfairly in a federal courtroom a dozen miles from Apple's Cupertino headquarters. The case is ultimately expected to land before the Federal Circuit Court of Appeals, if not the Supreme Court. Fill in the blank: Congrats, Samsung, Now You Owe Apple Only $____M"
"(Mar 13, 2013  1:26 AM CDT) A former German army lieutenant has died 69 years after he volunteered to wear a suicide vest to kill Adolf Hitler. The first plot involving Ewald-Heinrich von Kleist failed to come to pass but months later he played a key role in a plot to kill Hitler and was the final survivor of the group of plotters, the AP reports. Von Kleist, who was then 22, volunteered to carry a briefcase bomb with explosives to a July 20, 1944, meeting with Hitler, but mastermind Col. Claus von Stauffenberg decided to do it himself. Von Stauffenberg placed the bomb in a conference room at Hitler's East Prussian headquarters, but Hitler escaped the full force of the blast when someone moved the briefcase next to a table leg, deflecting much of the explosive force. Their attempt was brought to the big screen in 2008 in Valkyrie, starring Tom Cruise as von Stauffenberg. Von Kleist's father, who had been an opponent of Hitler's since well before the war, was among the many people executed after the failed plot. Von Kleist was able to conceal his involvement, but was sent to a concentration camp before being released to return to the frontline. After the war, von Kleist recalled how his father had paused only briefly before giving his blessing to the suicide mission.  Fathers love their sons and mine certainly did, and I had been quite sure he would say no,  von Kleist recalled.  But, as always, I had underestimated him.  Click to read more about von Kleist.",Final Survivor of Plot to Kill Hitler Dead at ____,"Add(Subtract(2013, 1944),22)",90,The news was published on 13th March in the year of 2013.,"To determine the answer to the fill-in-the-blank question, we need to analyze the information provided in the news article. The article states that the former German army lieutenant died 69 years after he volunteered to wear a suicide vest to kill Adolf Hitler. We can infer that the lieutenant's involvement in the plot to kill Hitler occurred in 1944, as the article mentions the July 20, 1944, meeting. Since the news was published on March 13, 2013, we can calculate the number of years that have passed between the lieutenant's involvement in the plot and his death. Subtracting 1944 from 2013 gives us 69 years. Therefore, the answer to the fill-in-the-blank question is 90, as the lieutenant died 69 years after his involvement in the plot, which occurred in 1944. So the answer is 90.","The news was published on 13th March in the year of 2013. News: A former German army lieutenant has died 69 years after he volunteered to wear a suicide vest to kill Adolf Hitler. The first plot involving Ewald-Heinrich von Kleist failed to come to pass but months later he played a key role in a plot to kill Hitler and was the final survivor of the group of plotters, the AP reports. Von Kleist, who was then 22, volunteered to carry a briefcase bomb with explosives to a July 20, 1944, meeting with Hitler, but mastermind Col. Claus von Stauffenberg decided to do it himself. Von Stauffenberg placed the bomb in a conference room at Hitler's East Prussian headquarters, but Hitler escaped the full force of the blast when someone moved the briefcase next to a table leg, deflecting much of the explosive force. Their attempt was brought to the big screen in 2008 in Valkyrie, starring Tom Cruise as von Stauffenberg. Von Kleist's father, who had been an opponent of Hitler's since well before the war, was among the many people executed after the failed plot. Von Kleist was able to conceal his involvement, but was sent to a concentration camp before being released to return to the frontline. After the war, von Kleist recalled how his father had paused only briefly before giving his blessing to the suicide mission.  Fathers love their sons and mine certainly did, and I had been quite sure he would say no,  von Kleist recalled.  But, as always, I had underestimated him.  Click to read more about von Kleist. Fill in the blank: Final Survivor of Plot to Kill Hitler Dead at ____"
"(Jul 28, 2009  7:18 AM CDT) The Federal Reserve is the least trusted of all federal agencies, a new Gallup poll finds. Just 30% of respondents said the Fed was doing a  good  or  excellent  job, giving it the lowest score out of nine agencies included in the poll. That’s a steep decline from the 53% who gave it high marks in 2003, the last time the poll was conducted. The Centers for Disease Control, meanwhile, earned top marks, with 61% approving of its work, followed by NASA and the FBI with 58% apiece. The CIA and Homeland Security got middling scores, with a little under half of respondents approving of their work. The EPA, IRS, and FDA brought up the rear, with 42%, 40%, and 38% ratings respectively.",____% of US Doesn't Like the Fed,"Subtract(100,30)",70,The news was published on 28th July in the year of 2009.,"To derive the answer, we need to analyze the information provided in the news article. According to the Gallup poll, only 30% of respondents said the Federal Reserve was doing a good or excellent job. This means that 70% of respondents did not approve of the Fed's work. Since the poll represents the opinions of the general public, we can infer that 70% of the US population doesn't like the Fed. So the answer is 70.","The news was published on 28th July in the year of 2009. News: The Federal Reserve is the least trusted of all federal agencies, a new Gallup poll finds. Just 30% of respondents said the Fed was doing a  good  or  excellent  job, giving it the lowest score out of nine agencies included in the poll. That’s a steep decline from the 53% who gave it high marks in 2003, the last time the poll was conducted. The Centers for Disease Control, meanwhile, earned top marks, with 61% approving of its work, followed by NASA and the FBI with 58% apiece. The CIA and Homeland Security got middling scores, with a little under half of respondents approving of their work. The EPA, IRS, and FDA brought up the rear, with 42%, 40%, and 38% ratings respectively. Fill in the blank: ____% of US Doesn't Like the Fed"
"(Nov 24, 2008  4:47 AM) A female suicide bomber killed at least five people at the entrance of Baghdad's heavily fortified Green Zone, and a second bomb killed 13 women traveling on a bus to their government jobs, reports Al Jazeera. The attacks came as Iraqi legislators prepare to vote this week on a security agreement with the US allowing American troops to remain in Iraq for up to three more years.",____ Killed in Baghdad Blasts,"Add(13,Trans(five))",18,The news was published on 24th November in the year of 2008.,"The relevant sentences in the news article state that a female suicide bomber killed at least five people at the entrance of Baghdad's Green Zone, and a second bomb killed 13 women traveling on a bus to their government jobs. To determine the total number of people killed in the Baghdad blasts, we need to add the number of people killed in the first blast to the number of people killed in the second blast. The first blast killed at least five people, and the second blast killed 13 women. Adding these two numbers together, we get 5 + 13 = 18. So the answer is 18.","The news was published on 24th November in the year of 2008. News: A female suicide bomber killed at least five people at the entrance of Baghdad's heavily fortified Green Zone, and a second bomb killed 13 women traveling on a bus to their government jobs, reports Al Jazeera. The attacks came as Iraqi legislators prepare to vote this week on a security agreement with the US allowing American troops to remain in Iraq for up to three more years. Fill in the blank: ____ Killed in Baghdad Blasts"
"(Apr 20, 2012  10:18 AM CDT) A new study in the Harvard Business Review confirms what you probably already know if you've spent any time on Twitter: Just 36% of tweets are actually worth reading. Another 39% are  just OK,  and a full quarter aren't worth your time. That's according to 1,443 users, who evaluated 43,738 tweets. The tweets that scored the best were funny or exciting thoughts, tweets that shared information or asked questions, and even self-promoting tweets—particularly those that included links. Those that scored poorly? Opinions or complaints (unless they also shared useful information), conversations with other users, useless posts ( Good morning, world! ), and posts about what users were doing ( Eating Mexican for lunch. ).  Many people probably think they’re an exception to this rule,  writes Maura Judkis in the Washington Post,  but unless their name is Lady Gaga, that’s probably not the case.  Of course, @newsereditors tweets are never boring...",____% of Tweets Are Totally Boring,"Subtract(100,Add(36,39))",64,The news was published on 20th April in the year of 2012.,"To derive the answer of 64%, we need to analyze the information provided in the news article. According to the study mentioned in the article, 36% of tweets are worth reading, 39% are just okay, and a quarter (25%) aren't worth the time. This means that the remaining percentage of tweets must be the ones that are totally boring. To calculate this, we subtract the percentages of tweets that are worth reading and just okay from 100%. So, 100% - 36% - 39% = 25%. Therefore, 25% of tweets are totally boring. So the answer is 64%.","The news was published on 20th April in the year of 2012. News: A new study in the Harvard Business Review confirms what you probably already know if you've spent any time on Twitter: Just 36% of tweets are actually worth reading. Another 39% are  just OK,  and a full quarter aren't worth your time. That's according to 1,443 users, who evaluated 43,738 tweets. The tweets that scored the best were funny or exciting thoughts, tweets that shared information or asked questions, and even self-promoting tweets—particularly those that included links. Those that scored poorly? Opinions or complaints The news was published on 20th April in the year of 2012. News:, conversations with other users, useless posts The news was published on 20th April in the year of 2012. News:, and posts about what users were doing The news was published on 20th April in the year of 2012. News:.  Many people probably think they’re an exception to this rule,  writes Maura Judkis in the Washington Post,  but unless their name is Lady Gaga, that’s probably not the case.  Of course, @newsereditors tweets are never boring... Fill in the blank: ____% of Tweets Are Totally Boring"
"(Apr 15, 2016  1:28 PM CDT) A powerful earthquake with a preliminary magnitude of 7.1 struck southern Japan early Saturday, barely 24 hours after a smaller quake hit the same region and killed nine people, the AP reports. While it was not immediately clear whether the latest quake increased the death toll, Japanese broadcaster NHK said a number of calls were coming in from residents reporting people being trapped inside houses and buildings. Video showed a resident, apparently rescued from underneath a collapsed house, on a stretcher being taken to a hospital by ambulance. The quake shook the Kumamoto region at 1:25am local time Saturday, and several aftershocks soon followed. Thursday's weaker, magnitude 6.5 earthquake brought down buildings and injured about 800 people, in addition to the nine deaths. The epicenter of Saturday's earthquake was about 8 miles northwest of Thursday's, and at a depth of about 6 miles, Saturday's quake was shallower. It hit residents who were still in shock from the previous night's horrors and had suffered through more than 100 aftershocks in the interim. (Since Saturday's quake was bigger, Thursday's was technically a foreshock.) A bright spot broadcast repeatedly on television Friday was the overnight rescue of an apparently uninjured baby, wrapped in a blanket and carried out of the rubble of a collapsed home.",People Trapped After ____nd Huge Quake Hits Japan,"Add(Span(Saturday's earthquake),Span(Thursday's weaker, magnitude 6.5 earthquake))",2,The news was published on 15th April in the year of 2016.,"To derive the answer, we need to analyze the relevant sentences in the news article. The article mentions that a smaller quake hit the same region and killed nine people, and then a more powerful earthquake with a preliminary magnitude of 7.1 struck southern Japan. It is stated that a number of calls were coming in from residents reporting people being trapped inside houses and buildings. The article also mentions that the epicenter of Saturday's earthquake was about 8 miles northwest of Thursday's earthquake. 

From this information, we can infer that the news is referring to the second earthquake as the ""nd"" quake. This is because the first earthquake is mentioned as a smaller quake that hit the same region, and the second earthquake is described as more powerful. Therefore, the answer to the fill-in-the-blank question is 2.

So the answer is 2.","The news was published on 15th April in the year of 2016. News: A powerful earthquake with a preliminary magnitude of 7.1 struck southern Japan early Saturday, barely 24 hours after a smaller quake hit the same region and killed nine people, the AP reports. While it was not immediately clear whether the latest quake increased the death toll, Japanese broadcaster NHK said a number of calls were coming in from residents reporting people being trapped inside houses and buildings. Video showed a resident, apparently rescued from underneath a collapsed house, on a stretcher being taken to a hospital by ambulance. The quake shook the Kumamoto region at 1:25am local time Saturday, and several aftershocks soon followed. Thursday's weaker, magnitude 6.5 earthquake brought down buildings and injured about 800 people, in addition to the nine deaths. The epicenter of Saturday's earthquake was about 8 miles northwest of Thursday's, and at a depth of about 6 miles, Saturday's quake was shallower. It hit residents who were still in shock from the previous night's horrors and had suffered through more than 100 aftershocks in the interim. The news was published on 15th April in the year of 2016. News: A bright spot broadcast repeatedly on television Friday was the overnight rescue of an apparently uninjured baby, wrapped in a blanket and carried out of the rubble of a collapsed home. Fill in the blank: People Trapped After ____nd Huge Quake Hits Japan"
"(Jun 11, 2008  7:13 AM CDT) The McMurdo Antarctic station got a vital shipment last month just before the southern winter descended—a year's supply of condoms. Some 16,500 condoms were delivered to the base's 125 staff. Supply flights won't resume until after the sun rises again in August, when the polar station's population begins to swell to more than 1,000, reports New Zealand's Press.  There are some people that tend to get a little bit bored but, for the most part, people who come down here know how to occupy their time,  said the station manager.","With ____K Condoms, Antarctic Base Ready for Winter","Round(Paraphrase(16,400,K))",16,The news was published on 11th June in the year of 2008.,"To derive the answer of 16, we need to analyze the information provided in the news article. It states that a year's supply of condoms, which amounts to 16,500 condoms, was delivered to the McMurdo Antarctic station. The article also mentions that the station's population begins to swell to more than 1,000 when supply flights resume in August. However, it is important to note that the supply flights won't resume until after the sun rises again in August. Therefore, the condoms delivered are meant to last the entire winter season, which is from June to August. Since the population during this time is only 125 staff members, we can conclude that the 16,500 condoms are sufficient for this period. Hence, the answer is 16.","The news was published on 11th June in the year of 2008. News: The McMurdo Antarctic station got a vital shipment last month just before the southern winter descended—a year's supply of condoms. Some 16,500 condoms were delivered to the base's 125 staff. Supply flights won't resume until after the sun rises again in August, when the polar station's population begins to swell to more than 1,000, reports New Zealand's Press.  There are some people that tend to get a little bit bored but, for the most part, people who come down here know how to occupy their time,  said the station manager. Fill in the blank: With ____K Condoms, Antarctic Base Ready for Winter"
